N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.88,82.0,6.5,202.94,rice
85,58,41,21.77,80.32,7.04,226.66,rice
60,55,44,23.0,82.32,7.84,263.96,rice
74,35,40,26.49,80.16,6.98,242.86,rice
78,42,42,20.13,81.6,7.63,262.72,rice
69,37,42,23.06,83.37,7.07,251.05,rice
69,55,38,22.71,82.64,5.7,271.32,rice
94,53,40,20.28,82.89,5.72,241.97,rice
89,54,38,24.52,83.54,6.69,230.45,rice
68,58,38,23.22,83.03,6.34,221.21,rice
91,53,40,26.53,81.42,5.39,264.61,rice
90,46,42,23.98,81.45,7.5,250.08,rice
78,58,44,26.8,80.89,5.11,284.44,rice
93,56,36,24.01,82.06,6.98,185.28,rice
94,50,37,25.67,80.66,6.95,209.59,rice
60,48,39,24.28,80.3,7.04,231.09,rice
85,38,41,21.59,82.79,6.25,276.66,rice
91,35,39,23.79,80.42,6.97,206.26,rice
77,38,36,21.87,80.19,5.95,224.56,rice
88,35,40,23.58,83.59,5.85,291.3,rice
89,45,36,21.33,80.47,6.44,185.5,rice
76,40,43,25.16,83.12,5.07,231.38,rice
67,59,41,21.95,80.97,6.01,213.36,rice
83,41,43,21.05,82.68,6.25,233.11,rice
98,47,37,23.48,81.33,7.38,224.06,rice
66,53,41,25.08,80.52,7.78,257.0,rice
97,59,43,26.36,84.04,6.29,271.36,rice
97,50,41,24.53,80.54,7.07,260.26,rice
60,49,44,20.78,84.5,6.24,240.08,rice
84,51,35,22.3,80.64,6.04,197.98,rice
73,57,41,21.45,84.94,5.82,272.2,rice
92,35,40,22.18,80.33,6.36,200.09,rice
85,37,39,24.53,82.74,6.36,224.68,rice
98,53,38,20.27,81.64,5.01,270.44,rice
88,54,44,25.74,83.88,6.15,233.13,rice
95,55,42,26.8,82.15,5.95,193.35,rice
99,57,35,26.76,81.18,5.96,272.3,rice
95,39,36,23.86,83.15,5.56,285.25,rice
60,43,44,21.02,82.95,7.42,298.4,rice
63,44,41,24.17,83.73,5.58,257.03,rice
62,42,36,22.78,82.07,6.43,248.72,rice
64,45,43,25.63,83.53,5.53,209.9,rice
83,60,36,25.6,80.15,6.9,200.83,rice
82,40,40,23.83,84.81,6.27,298.56,rice
85,52,45,26.31,82.37,7.22,265.54,rice
91,35,38,24.9,80.53,6.13,183.68,rice
76,49,42,24.96,84.48,5.21,196.96,rice
74,39,38,23.24,84.59,7.78,233.05,rice
79,43,39,21.67,80.71,7.06,210.81,rice
88,55,45,24.64,80.41,7.73,253.72,rice
60,36,43,23.43,83.06,5.29,219.9,rice
76,60,39,20.05,80.35,6.77,208.58,rice
93,56,42,23.86,82.23,7.38,195.09,rice
65,60,43,21.97,81.9,5.66,227.36,rice
95,52,36,26.23,83.84,5.54,286.51,rice
75,38,39,23.45,84.79,6.22,283.93,rice
74,54,38,25.66,83.47,7.12,217.38,rice
91,36,45,24.44,82.45,5.95,267.98,rice
71,46,40,20.28,82.12,7.24,191.95,rice
99,55,35,21.72,80.24,6.5,277.96,rice
72,40,38,20.41,82.21,7.59,245.15,rice
83,58,45,25.76,83.52,5.88,245.66,rice
93,58,38,20.62,83.77,6.93,279.55,rice
70,36,42,21.84,80.73,6.95,202.38,rice
76,47,42,20.08,83.29,5.74,263.64,rice
99,41,36,24.46,82.75,6.74,182.56,rice
99,54,37,21.14,80.34,5.59,198.67,rice
86,59,35,25.79,82.11,6.95,243.51,rice
69,46,41,23.64,80.29,5.01,263.11,rice
91,56,37,23.43,80.57,6.36,269.5,rice
61,52,41,24.98,83.89,6.88,204.8,rice
67,45,38,22.73,82.17,7.3,260.89,rice
79,42,37,24.87,82.84,6.59,295.61,rice
78,43,42,21.32,83.0,7.28,192.32,rice
75,54,36,26.29,84.57,7.02,257.49,rice
97,36,45,22.23,81.86,6.94,278.08,rice
67,47,44,26.73,81.79,7.87,280.4,rice
73,35,38,24.89,81.98,5.01,185.95,rice
77,36,37,26.88,81.46,6.14,194.58,rice
81,41,38,22.68,83.73,7.52,200.91,rice
68,57,43,26.09,80.38,5.71,182.9,rice
72,45,35,25.43,82.95,5.76,195.36,rice
61,53,43,26.4,81.06,6.35,223.37,rice
67,43,39,26.04,84.97,6.0,186.75,rice
67,58,39,25.28,80.54,5.45,220.12,rice
66,60,38,22.09,83.47,6.37,231.74,rice
82,43,38,23.29,81.43,5.11,242.32,rice
84,50,44,25.49,81.41,5.94,182.65,rice
81,53,42,23.68,81.04,5.18,233.7,rice
91,50,40,20.82,84.13,6.46,230.22,rice
93,53,38,26.93,81.91,7.07,290.68,rice
90,44,38,23.84,83.88,7.47,241.2,rice
81,45,35,26.53,80.12,6.16,218.92,rice
78,40,38,26.46,83.86,7.55,248.23,rice
60,51,36,22.7,82.81,6.03,257.0,rice
88,46,42,22.68,83.46,6.6,194.27,rice
93,47,37,21.53,82.14,6.5,295.92,rice
60,55,45,21.41,83.33,5.94,287.58,rice
78,35,44,26.54,84.67,7.07,183.62,rice
65,37,40,23.36,83.6,5.33,188.41,rice
71,54,16,22.61,63.69,5.75,87.76,maize
61,44,17,26.1,71.57,6.93,102.27,maize
80,43,16,23.56,71.59,6.66,66.72,maize
73,58,21,19.97,57.68,6.6,60.65,maize
61,38,20,18.48,62.7,5.97,65.44,maize
68,41,16,21.78,57.81,6.16,102.09,maize
93,41,17,25.62,66.5,6.05,105.47,maize
89,60,19,25.19,66.69,5.91,78.07,maize
76,44,17,20.42,62.55,5.86,65.28,maize
67,60,25,24.92,66.79,5.75,109.22,maize
70,44,19,23.32,73.45,5.85,94.3,maize
90,49,21,24.84,68.36,6.47,74.05,maize
62,52,16,22.28,58.84,6.97,63.87,maize
92,44,16,18.88,65.77,6.08,94.76,maize
66,54,21,25.19,60.2,5.92,72.12,maize
63,58,22,18.25,55.28,6.2,63.72,maize
70,47,17,24.61,70.42,6.6,104.16,maize
61,41,17,25.14,65.26,6.02,76.68,maize
66,53,19,23.09,60.12,6.03,65.5,maize
74,55,19,18.05,62.89,6.29,84.24,maize
77,57,21,24.93,73.8,6.55,79.74,maize
99,50,15,18.15,71.09,5.57,88.08,maize
74,56,22,18.28,66.66,6.83,80.98,maize
83,45,21,18.83,58.75,5.72,79.75,maize
100,48,16,25.72,67.22,5.55,74.51,maize
79,51,16,25.34,68.5,6.59,96.46,maize
94,39,18,23.89,57.49,5.89,102.83,maize
75,49,15,21.54,71.51,5.92,102.49,maize
78,48,22,23.09,63.1,5.59,70.43,maize
87,54,20,25.62,63.47,6.58,108.83,maize
87,35,25,21.45,63.16,6.18,65.89,maize
63,43,19,18.52,55.53,6.64,90.99,maize
84,57,25,22.54,67.99,6.49,64.41,maize
64,35,23,23.02,61.89,5.68,63.04,maize
60,46,22,24.89,65.61,6.63,87.93,maize
98,44,21,25.77,74.09,6.52,107.49,maize
75,56,18,19.4,62.36,5.7,60.95,maize
86,55,21,21.54,59.64,6.8,109.75,maize
98,35,18,23.8,74.83,6.25,91.76,maize
76,57,18,18.98,74.53,6.09,94.26,maize
99,56,17,24.11,73.13,6.23,71.08,maize
60,44,23,24.79,70.05,5.72,76.73,maize
74,48,17,21.63,60.28,6.43,69.22,maize
89,60,17,25.38,57.21,5.98,101.7,maize
69,51,23,22.22,72.85,6.8,106.62,maize
96,46,22,20.58,69.0,6.5,66.29,maize
61,60,15,24.88,68.74,6.27,91.26,maize
74,58,18,20.04,56.36,6.73,109.02,maize
74,43,23,25.95,61.89,6.33,99.58,maize
63,43,17,19.29,65.47,6.81,71.32,maize
99,36,20,20.58,65.35,6.67,78.35,maize
77,36,23,24.71,56.73,6.65,88.45,maize
87,60,23,20.27,63.91,6.44,62.5,maize
60,38,17,18.42,64.24,6.47,76.41,maize
94,54,17,23.39,61.74,5.87,107.32,maize
95,38,22,19.85,61.25,5.73,100.77,maize
84,44,21,21.87,61.91,5.85,107.27,maize
77,58,19,22.81,56.51,5.79,101.6,maize
66,44,20,19.08,69.02,6.74,80.73,maize
63,35,16,22.03,65.36,6.27,83.73,maize
79,45,20,23.81,59.25,5.72,89.96,maize
72,60,25,18.53,69.03,5.77,88.1,maize
67,51,24,23.5,61.32,5.58,64.78,maize
86,36,24,26.55,72.89,5.79,73.34,maize
76,48,18,19.3,69.63,5.78,83.21,maize
75,53,18,20.69,59.44,6.86,103.65,maize
81,45,23,19.33,68.03,6.19,84.23,maize
73,45,21,24.61,73.59,6.64,96.59,maize
71,35,24,22.27,59.52,5.83,67.97,maize
96,54,22,25.7,61.33,6.96,83.21,maize
99,39,18,19.2,68.31,6.11,87.85,maize
62,48,20,21.7,60.47,6.71,95.71,maize
86,37,16,20.52,59.21,5.56,67.61,maize
94,50,19,23.3,73.63,5.87,97.59,maize
76,39,24,24.25,55.65,7.0,64.24,maize
77,52,17,24.86,65.74,5.71,75.82,maize
