N,P,K,ph,temperature,humidity,rainfall,altitude_m,Zn,S,soil_moisture,label
0.23,5.401,738.231,5.81,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,2.976,13.816,0.73,Barley
0.23,10.478,606.382,5.43,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,3.077,16.421,0.73,Barley
0.23,6.847,386.58,5.41,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,6.611,16.557,0.73,Barley
0.23,3.418,207.086,5.65,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,0.460181,16.075,0.73,Barley
0.23,39.282,317.357,5.27,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,2.743,12.558,0.73,Barley
0.23,8.48,148.437,5.06,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,4.511,17.755,0.73,Barley
0.23,2.147,303.528,5.57,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,1.418,11.203,0.73,Barley
0.23,30.3,380.599,5.2,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,1.772,13.985,0.73,Barley
0.23,6.382,401.063,5.34,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,2.433,13.069,0.73,Barley
0.23,27.577,226.949,5.95,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,0.451893,17.067,0.73,Barley
0.23,0.83888,217.874,5.47,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,0.723258,11.88,0.73,Barley
0.23,46.842,417.185,6.43,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,1.17,15.386,0.73,Barley
0.23,1.505,149.357,6.06,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,0.754669,11.35,0.73,Barley
0.23,3.822,423.766,5.6,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,2.093,12.197,0.73,Barley
0.23,66.314,351.523,6.03,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,1.157,17.559,0.73,Barley
0.23,2.601,164.48,5.25,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,3.62,10.133,0.73,Barley
0.23,6.166,77.385,6.17,16.512916666625,10024.1666665,24.916666662999997,33028.36600453157,0.942004,10.85,0.73,Barley
0.23,5.055,116.77,6.15,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.831,10.016,0.69,Barley
0.23,4.894,137.386,5.79,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,2.773,8.975,0.69,Barley
0.23,12.275,81.482,5.99,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.082,10.742,0.69,Barley
0.23,2.025,196.733,5.9,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.705,14.6,0.69,Barley
0.23,0.412473,388.938,5.65,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.237,10.498,0.69,Barley
0.23,12.296,146.312,5.84,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.414,11.191,0.69,Barley
0.23,7.601,55.789,5.99,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.355,11.674,0.69,Barley
0.321,4.0,276.0,5.8,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.0,9.0,0.65,Barley
0.23,80.748,277.673,6.3,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.209,11.417,0.69,Barley
0.23,6.988,234.671,5.93,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,0.925432,11.54,0.69,Barley
0.23,7.112,96.094,6.05,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,0.923301,11.728,0.69,Barley
0.23,3.883,508.623,5.63,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,0.679485,12.999,0.69,Barley
0.23,74.965,403.938,5.99,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.985,16.624,0.69,Barley
0.2526,12.0,347.0,5.9,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.5,11.0,0.65,Barley
0.23,8.851,135.701,5.2,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,3.177,12.095,0.69,Barley
0.23,13.07,175.786,6.21,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.443,9.367,0.69,Barley
0.23,8.048,71.766,5.57,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,3.137,5.906,0.69,Barley
0.23,168.213,697.628,6.05,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.814,15.609,0.69,Barley
0.23,58.65,285.655,6.01,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.733,10.517,0.69,Barley
0.23,3.766,183.472,5.85,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.44,11.939,0.69,Barley
0.23,5.095,89.77,6.15,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,0.999941,11.033,0.69,Barley
0.2365,12.0,420.0,6.1,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.2,7.0,0.65,Barley
0.23,6.915,267.393,5.57,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.064,13.226,0.69,Barley
0.23,2.712,449.394,5.45,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,3.157,13.146,0.69,Barley
0.23,4.224,161.458,5.61,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,1.325,12.158,0.65,Barley
0.23,6.002,98.899,6.0,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,0.646985,10.839,0.69,Barley
0.23,3.149,177.9,5.74,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.03,12.044,0.69,Barley
0.23,4.908,366.933,5.71,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,0.812608,16.75,0.69,Barley
0.3493,7.0,191.0,5.7,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.5,8.0,0.65,Barley
0.2681,15.0,296.0,6.0,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.3,13.0,0.65,Barley
0.358,12.0,241.0,5.7,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.0,13.0,0.65,Barley
0.3411,6.0,182.0,5.8,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.0,8.0,0.65,Barley
0.1255,50.0,239.0,6.4,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,1.3,17.0,0.65,Barley
0.2748,4.0,208.0,5.7,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.8,6.0,0.65,Barley
0.219,8.0,242.0,5.9,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.4,9.0,0.65,Barley
0.2242,11.0,343.0,5.8,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.2,7.0,0.65,Barley
0.2734,11.0,318.0,6.0,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.3,6.0,0.65,Barley
0.1702,10.0,295.0,6.3,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.2,5.0,0.65,Barley
0.23,13.546,125.216,6.07,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.459,11.334,0.69,Barley
0.23,5.391,158.106,5.56,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.349,14.209,0.65,Barley
0.23,84.785,55.791,6.25,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,0.769416,5.549,0.69,Barley
0.1754,5.0,159.0,6.3,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,1.4,6.0,0.65,Barley
0.2145,4.0,185.0,5.9,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,1.5,8.0,0.65,Barley
0.2905,3.0,316.0,5.9,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.4,6.0,0.65,Barley
0.2087,164.0,910.0,6.1,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.3,7.0,0.65,Barley
0.23,17.626,187.345,5.7,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.087,15.959,0.69,Barley
0.23,291.856,1458.2,5.61,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,3.463,21.958,0.69,Barley
0.23,23.076,391.602,5.63,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,2.039,17.165,0.69,Barley
0.23,3.226,104.195,6.35,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.098,12.622,0.69,Barley
0.2593,3.0,226.0,6.0,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,1.9,7.0,0.65,Barley
0.1692,96.0,415.0,6.1,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.2,10.0,0.65,Barley
0.184,7.0,319.0,5.8,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.1,7.0,0.65,Barley
0.23,16.899,237.341,5.61,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.708,13.733,0.69,Barley
0.23,6.494,97.358,5.95,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.724,12.492,0.69,Barley
0.23,6.252,90.749,5.85,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.879,13.922,0.69,Barley
0.3063,9.0,338.0,6.0,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.7,11.0,0.65,Barley
0.2363,22.0,287.0,6.2,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.0,7.0,0.65,Barley
0.2935,8.0,196.0,6.3,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,1.8,10.0,0.65,Barley
0.2902,18.0,177.0,5.9,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,2.1,10.0,0.65,Barley
0.2591,39.0,461.0,6.1,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.7,10.0,0.65,Barley
0.23,2.253,214.852,5.95,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.704,11.793,0.69,Barley
0.3693,5.0,90.0,5.5,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,1.2,11.0,0.65,Barley
0.4014,18.0,395.0,5.6,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,6.3,8.0,0.65,Barley
0.286,13.0,360.0,5.9,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,5.4,8.0,0.65,Barley
0.1405,9.0,361.0,6.2,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,1.6,4.0,0.65,Barley
0.2039,3.0,245.0,5.7,13.937083334125001,8595.00000075,13.153333332999999,33109.44596671493,3.1,6.0,0.65,Barley
