N,P,K,ph,temperature,humidity,rainfall,altitude_m,Zn,S,soil_moisture,label
0.22868486248699213,8.72273931503902,208.22016221303156,5.274653206350631,16.986199873564487,10359.48941407864,30.28210781728189,32992.722179593766,1.2301046768135029,20.940174549630964,0.7272806948544727,Specialty
0.250293402,17.0,335.0,5.8,16.8074999995,10235.00000175,30.580000003,33021.116625328366,2.0,5.0,0.77,Major_Cereals
0.18936059489897744,3.135061718849284,293.6092503611792,5.012541210216617,19.87405257584481,10998.761462502624,27.312484047916637,32911.00934237223,2.715415512398393,14.663099717359604,0.7018259267828613,Cereals
0.12,2.0,234.0,6.1,16.695000000375,9474.999999,21.486666663,33042.082321614136,1.0,9.0,0.74,Major_Cereals
0.275904325,2.4,259.0,5.85,17.460833333375,10686.6666675,34.343333333000004,32985.437862553255,2.6,12.1,0.8,Cereals
0.23,4.8,681.0,5.42,21.007083333375,11215.000001,22.426666671,32846.778606085936,1.17,18.4,0.55,Major_Cereals
0.19,1.39,347.0,5.05,16.979166667125,10435.833335,30.153333336,32994.519581729415,1.32,15.1,0.73,Major_Cereals
0.2179,2.0,457.0,5.4,19.975833332875,11013.333334,26.873333333,32909.59841822012,1.6,14.0,0.7,Cereals
0.134622792,26.66,357.28,6.37,17.892500000374998,9325.8333335,17.903333337,33025.017679258104,1.42,5.21,0.63,Major_Cereals
0.23,7.601,55.789,5.99,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,1.355,11.674,0.69,Major_Cereals
0.168,2.0,355.0,5.2,19.975833332875,11013.333334,26.873333333,32909.59841822012,2.1,10.0,0.7,Major_Cereals
0.23,8.048,71.766,5.57,14.035416666999998,9034.1666675,13.813333333,33062.08368446257,3.137,5.906,0.69,Major_Cereals
0.1639,1.0,282.0,5.4,16.979166667125,10435.833335,30.153333336,32994.519581729415,0.9,17.0,0.73,Major_Cereals
0.2063,2.0,133.0,5.5,16.8074999995,10235.00000175,30.580000003,33021.116625328366,1.7,7.0,0.77,Major_Cereals
0.217740219,3.4,564.0,5.45,19.813333332875,11714.16666575,34.526666663,32877.213548060194,1.9,19.4,0.73,Major_Cereals
0.18,12.0,517.0,5.98,17.892500000374998,9325.8333335,17.903333337,33025.017679258104,2.9,11.0,0.63,Major_Cereals
0.1451,2.0,81.0,5.4,16.8074999995,10235.00000175,30.580000003,33021.116625328366,0.8,7.0,0.77,Major_Cereals
0.217347627,3.0,532.0,5.7,16.979166667125,10435.833335,30.153333336,32994.519581729415,2.0,11.0,0.73,Major_Cereals
0.1725,1.0,135.0,4.8,16.979166667125,10435.833335,30.153333336,32994.519581729415,0.9,18.0,0.73,Pulses
0.0999,1.0,284.0,5.7,19.236250000374994,10472.5,24.306666666,32957.289113476414,1.3,5.0,0.7,Major_Cereals
0.17507361615070635,5.208844818444759,173.62081974588432,6.489291651994006,19.741161278039016,11676.412458427485,34.759286873330886,32876.66989790224,1.781324363767182,5.184165463920513,0.7298444630187539,Specialty
0.2289,2.0,321.0,5.83,17.460833333375,10686.6666675,34.343333333000004,32985.437862553255,1.5,6.0,0.8,Major_Cereals
0.16,6.56,245.04,6.0,17.892500000374998,9325.8333335,17.903333337,33025.017679258104,1.84,4.47,0.63,Major_Cereals
